window,fold_p006,fold_p007,fold_p008,mean,min,std,positive_folds
2,0.0005574815045612525,0.0007071536155169866,0.000554364010096231,0.0006063330433914901,0.000554364010096231,7.130226978958058e-05,3
3,0.0007361180099326736,0.0008107922070466067,0.0008385180228406286,0.0007951427466066363,0.0007361180099326736,4.324442060300176e-05,3
4,0.0007024925674868898,0.0008273189985392726,0.0008731026808977971,0.0008009714156413198,0.0007024925674868898,7.209992622716535e-05,3
6,0.0008059943881539855,0.000748730647122664,0.0007348072475891199,0.0007631774276219231,0.0007348072475891199,3.080513318205063e-05,3
